CBB Team Link,KP Team Name,Team_Alias
kansas-state,,Kansas St.
kennesaw-state,,Kennesaw St.
kennesaw-state,Kennesaw St.,Kennesaw State
kent-state,Kent St.,Kent State
kent-state,,Kent St.
kentucky,Kentucky,Kentucky
la-salle,La Salle,La Salle
lafayette,Lafayette,Lafayette
lamar,Lamar,Lamar
le-moyne,Le Moyne,Le Moyne
lehigh,Lehigh,Lehigh
liberty,Liberty,Liberty
lindenwood,Lindenwood,Lindenwood
lipscomb,Lipscomb,Lipscomb
long-beach-state,,Long Beach St.
long-beach-state,Long Beach St.,Long Beach State
long-island-university,LIU Brooklyn,LIU Brooklyn
long-island-university,LIU,LIU
longwood,Longwood,Longwood
louisiana-lafayette,Louisiana,Louisiana Lafayette
louisiana-lafayette,Louisiana Lafayette,Louisiana 
louisiana-lafayette,Louisiana,Louisiana-Lafayette
louisiana-monroe,Louisiana-Monroe,Louisiana Monroe
louisiana-monroe,Louisiana Monroe,Louisiana-Monroe
louisiana-state,,LSU
louisiana-state,,Louisiana St.
louisiana-state,LSU,Louisiana State
louisiana-tech,Louisiana Tech,Louisiana Tech
louisville,Louisville,Louisville
loyola-il,,Loyola Chicago
loyola-il,Loyola Il,Loyola Il
loyola-il,Loyola Chicago,Loyola (IL)
loyola-marymount,Loyola Marymount,Loyola Marymount
loyola-md,Loyola (MD),Loyola Md
loyola-md,Loyola MD,Loyola (MD)
maine,Maine,Maine
manhattan,Manhattan,Manhattan
marist,Marist,Marist
marquette,Marquette,Marquette
marshall,Marshall,Marshall
maryland,Maryland,Maryland
maryland-baltimore-county,Maryland Baltimore County,UMBC
maryland-baltimore-county,Maryland-Baltimore County,Maryland Baltimore County
maryland-baltimore-county,UMBC,Maryland-Baltimore County
maryland-eastern-shore,Maryland-Eastern Shore,Maryland Eastern Shore
maryland-eastern-shore,Maryland Eastern Shore,Maryland-Eastern Shore
massachusetts,Massachusetts,Massachusetts
massachusetts-lowell,Massachusetts Lowell,UMass Lowell
massachusetts-lowell,Massachusetts-Lowell,Massachusetts Lowell
massachusetts-lowell,UMass Lowell,Massachusetts-Lowell
mcneese-state,McNeese,McNeese
mcneese-state,McNeese St.,Mcneese State
mcneese-state,,McNeese St.
mcneese-state,,McNeese State
memphis,Memphis,Memphis
mercer,Mercer,Mercer
mercyhurst,Mercyhurst,Mercyhurst
merrimack,Merrimack,Merrimack
miami-fl,,Miami Fl
miami-fl,,Miami FL
miami-fl,Miami FL,Miami (FL)
miami-oh,Miami OH,Miami (OH)
michigan,Michigan,Michigan
michigan-state,,Michigan St.
michigan-state,Michigan St.,Michigan State
middle-tennessee,Middle Tennessee,Middle Tennessee
milwaukee,Milwaukee,Milwaukee
minnesota,Minnesota,Minnesota
mississippi,Mississippi,Mississippi
mississippi-state,,Mississippi St.
mississippi-state,Mississippi St.,Mississippi State
mississippi-valley-state,,Mississippi Valley St.
mississippi-valley-state,Mississippi Valley St.,Mississippi Valley State
missouri,Missouri,Missouri
missouri-kansas-city,,UMKC
missouri-kansas-city,Kansas City,Missouri Kansas City
missouri-kansas-city,UMKC,Kansas City
missouri-state,,Southwest Missouri State
missouri-state,,Southwest Missouri St.
missouri-state,Southwest Missouri St.,Missouri State
missouri-state,Missouri St.,Missouri St.
monmouth,Monmouth,Monmouth
montana,Montana,Montana
montana-state,,Montana St.
montana-state,Montana St.,Montana State
morehead-state,,Morehead St.
morehead-state,Morehead St.,Morehead State
morgan-state,,Morgan St.
morgan-state,Morgan St.,Morgan State
mount-st-marys,,Mount St Marys
mount-st-marys,Mount St. Mary's,Mount St. Mary's
murray-state,,Murray St.
murray-state,Murray St.,Murray State
navy,Navy,Navy
nebraska,Nebraska,Nebraska
nebraska-omaha,,Nebraska Omaha
nebraska-omaha,Nebraska Omaha,Omaha
nevada,Nevada,Nevada
nevada-las-vegas,,UNLV
nevada-las-vegas,,Nevada Las Vegas
nevada-las-vegas,UNLV,Nevada-Las Vegas
new-hampshire,New Hampshire,New Hampshire
new-mexico,New Mexico,New Mexico
new-mexico-state,,New Mexico St.
new-mexico-state,New Mexico St.,New Mexico State
new-orleans,New Orleans,New Orleans
niagara,Niagara,Niagara
nicholls-state,,Nicholls
nicholls-state,Nicholls,Nicholls St.
nicholls-state,Nicholls St.,Nicholls State
njit,,Njit
njit,NJIT,NJIT
norfolk-state,,Norfolk St.
norfolk-state,Norfolk St.,Norfolk State
north-alabama,North Alabama,North Alabama
north-carolina,,UNC
north-carolina,North Carolina,North Carolina
north-carolina-asheville,,North Carolina Asheville
north-carolina-asheville,UNC Asheville,UNC Asheville
north-carolina-at,,North Carolina At
north-carolina-at,North Carolina A&T,North Carolina A&T
north-carolina-central,North Carolina Central,North Carolina Central
north-carolina-greensboro,,North Carolina Greensboro
north-carolina-greensboro,UNC Greensboro,UNC Greensboro
north-carolina-state,,North Carolina State
north-carolina-state,North Carolina St.,NC State
north-carolina-state,N.C. State,North Carolina St.
north-carolina-state,,NC St.
north-carolina-state,,N.C. St.
north-carolina-state,,N.C. State
north-carolina-wilmington,,North Carolina Wilmington
north-carolina-wilmington,UNC Wilmington,UNC Wilmington
north-dakota,North Dakota,North Dakota
north-dakota-state,,North Dakota St.
north-dakota-state,North Dakota St.,North Dakota State
north-florida,North Florida,North Florida
north-texas,North Texas,North Texas
northeastern,Northeastern,Northeastern
northern-arizona,Northern Arizona,Northern Arizona
northern-colorado,Northern Colorado,Northern Colorado
northern-illinois,Northern Illinois,Northern Illinois
northern-iowa,Northern Iowa,Northern Iowa
northern-kentucky,Northern Kentucky,Northern Kentucky
northwestern,Northwestern,Northwestern
northwestern-state,,Northwestern St.
northwestern-state,Northwestern St.,Northwestern State
notre-dame,Notre Dame,Notre Dame
oakland,Oakland,Oakland
ohio,Ohio,Ohio
ohio-state,,Ohio St.
ohio-state,Ohio St.,Ohio State
oklahoma,Oklahoma,Oklahoma
oklahoma-state,,Oklahoma State
oklahoma-state,Oklahoma St.,Oklahoma St.
old-dominion,Old Dominion,Old Dominion
oral-roberts,Oral Roberts,Oral Roberts
oregon,Oregon,Oregon
oregon-state,,Oregon St.
oregon-state,Oregon St.,Oregon State
pacific,Pacific,Pacific
penn-state,,Penn St.
penn-state,Penn St.,Penn State
pennsylvania,,Penn
pennsylvania,Penn,Pennsylvania
pepperdine,Pepperdine,Pepperdine
pittsburgh,Pittsburgh,Pittsburgh
portland,Portland,Portland
portland-state,,Portland St.
portland-state,Portland St.,Portland State
prairie-view,,Prarie View A&M
prairie-view,,Prarie View Am
prairie-view,Prairie View A&M,Prarie View
presbyterian,Presbyterian,Presbyterian
princeton,Princeton,Princeton
providence,Providence,Providence
purdue,Purdue,Purdue
queens-nc,,Queens Nc
queens-nc,,Queens
queens-nc,Queens,Queens (NC)
quinnipiac,Quinnipiac,Quinnipiac
radford,Radford,Radford
rhode-island,Rhode Island,Rhode Island
rice,Rice,Rice
richmond,Richmond,Richmond
rider,Rider,Rider
robert-morris,Robert Morris,Robert Morris
rutgers,Rutgers,Rutgers
sacramento-state,,Sacramento St.
sacramento-state,Sacramento St.,Sacramento State
sacred-heart,Sacred Heart,Sacred Heart
saint-francis-ny,,Saint Francis Ny
saint-francis-ny,,Saint Francis NY
saint-francis-ny,St. Francis NY,Saint Francis (NY)
saint-francis-ny,Saint Francis NY,St. Francis (NY)
saint-francis-pa,Saint Francis,Saint Francis PA
saint-francis-pa,Saint Francis PA,Saint Francis (PA)
saint-francis-pa,,St. Francis PA
saint-francis-pa,St. Francis PA,Saint Francis Pa
saint-josephs,,Saint Josephs
saint-josephs,Saint Joseph's,Saint Joseph's
saint-louis,Saint Louis,Saint Louis
saint-marys-ca,,Saint Mary's
saint-marys-ca,,Saint Mary's CA
saint-marys-ca,,Saint Marys Ca
saint-marys-ca,Saint Mary's,Saint Mary's (CA)
saint-peters,,Saint Peters
saint-peters,Saint Peter's,Saint Peter's
sam-houston-state,,Sam Houston St.
sam-houston-state,,Sam Houston State
sam-houston-state,Sam Houston St.,Sam Houston
samford,Samford,Samford
san-diego,San Diego,San Diego
san-diego-state,,San Diego St.
san-diego-state,San Diego St.,San Diego State
san-francisco,San Francisco,San Francisco
san-jose-state,,San Jose St.
san-jose-state,San Jose St.,San Jose State
santa-clara,Santa Clara,Santa Clara
savannah-state,,Savannah St.
savannah-state,,Savannah State
savannah-state,Savannah St.,Savannah State Tigers
seattle,Seattle,Seattle
seton-hall,Seton Hall,Seton Hall
siena,Siena,Siena
south-alabama,South Alabama,South Alabama
south-carolina,South Carolina,South Carolina
south-carolina-state,,South Carolina St.
south-carolina-state,South Carolina St.,South Carolina State
south-carolina-upstate,,USC Upstate
south-carolina-upstate,USC Upstate,South Carolina Upstate
south-dakota,South Dakota,South Dakota
south-dakota-state,,South Dakota St.
south-dakota-state,South Dakota St.,South Dakota State
south-florida,South Florida,South Florida
southeast-missouri-state,Southeast Missouri St.,Southeast Missouri State
southeast-missouri-state,,Southeast Missouri St.
southeast-missouri-state,Southeast Missouri,Southeast Missouri
southeastern-louisiana,Southeastern Louisiana,Southeastern Louisiana
southern,Southern,Southern
southern-california,,USC
southern-california,USC,Southern California
southern-illinois,Southern Illinois,Southern Illinois
southern-illinois-edwardsville,,SIU-Edwardsville
southern-illinois-edwardsville,,SIUE
southern-illinois-edwardsville,,SIUE Edwardsville
southern-illinois-edwardsville,SIU Edwardsville,Southern Illinois-Edwardsville
southern-illinois-edwardsville,SIUE,Southern Illinois Edwardsville
southern-indiana,Southern Indiana,Southern Indiana
southern-methodist,,SMU
southern-methodist,SMU,Southern Methodist
southern-mississippi,,Southern Miss
southern-mississippi,Southern Miss,Southern Mississippi
southern-utah,Southern Utah,Southern Utah
st-bonaventure,,Saint Bonaventure
st-bonaventure,,St Bonaventure
st-bonaventure,St. Bonaventure,St. Bonaventure
st-johns-ny,,St. John's
st-johns-ny,,St Johns Ny
st-johns-ny,St. John's,St. John's (NY)
st-thomas-mn,,Saint Thomas
st-thomas-mn,,St Thomas
st-thomas-mn,St. Thomas,St. Thomas
stanford,Stanford,Stanford
stephen-f-austin,,Stephen F Austin
stephen-f-austin,Stephen F. Austin,Stephen F. Austin
stetson,Stetson,Stetson
stonehill,Stonehill,Stonehill
stony-brook,Stony Brook,Stony Brook
syracuse,Syracuse,Syracuse
tarleton-state,,Tarleton St.
tarleton-state,Tarleton St.,Tarleton State
temple,Temple,Temple
tennessee,Tennessee,Tennessee
tennessee-martin,,Tennessee Martin
tennessee-martin,Tennessee Martin,Tennessee-Martin
tennessee-state,,Tennessee St.
tennessee-state,Tennessee St.,Tennessee State
tennessee-tech,Tennessee Tech,Tennessee Tech
texas,Texas,Texas
texas-am,,Texas AM
texas-am,,Texas Am
texas-am,Texas A&M,Texas A&M
texas-am-commerce,,East Texas Am
texas-am-commerce,Texas A&M Commerce,East Texas A&M
texas-am-commerce,East Texas A&M,Texas A&M Commerce
texas-am-corpus-christi,,Texas A&M Corpus Chris
texas-am-corpus-christi,Texas A&M Corpus Chris,Texas A&M-Corpus Christi
texas-arlington,,Texas Arlington
texas-arlington,UT Arlington,UT Arlington
texas-christian,,Texas Christian
texas-christian,TCU,TCU
texas-el-paso,,Texas El Paso
texas-el-paso,UTEP,UTEP
texas-pan-american,,Texas Pan American
texas-pan-american,,Texas Rio Grande Valley
texas-pan-american,Texas Pan American,Texas-Rio Grande Valley
texas-pan-american,UT Rio Grande Valley,UT Rio Grande Valley
texas-san-antonio,,Texas San Antonio
texas-san-antonio,UTSA,UTSA
texas-southern,Texas Southern,Texas Southern
texas-state,,Texas State
texas-state,Texas St.,Texas St.
texas-tech,Texas Tech,Texas Tech
toledo,Toledo,Toledo
towson,Towson,Towson
troy,,Troy State
troy,Troy St.,Troy St.
troy,Troy,Troy
tulane,Tulane,Tulane
tulsa,Tulsa,Tulsa
ucla,,Ucla
ucla,UCLA,UCLA
utah,Utah,Utah
utah-state,,Utah St.
utah-state,Utah St.,Utah State
utah-valley,Utah Valley,
utah-valley,Utah Valley St.,Utah Valley
valparaiso,Valparaiso,Valparaiso
vanderbilt,Vanderbilt,Vanderbilt
vermont,Vermont,Vermont
villanova,Villanova,Villanova
virginia,Virginia,Virginia
virginia-commonwealth,,VCU
virginia-commonwealth,VCU,Virginia Commonwealth
virginia-military-institute,,VMI
virginia-military-institute,VMI,Virginia Military Institute
virginia-tech,Virginia Tech,Virginia Tech
wagner,Wagner,Wagner
wake-forest,Wake Forest,Wake Forest
washington,Washington,Washington
washington-state,,Washington St.
washington-state,Washington St.,Washington State
weber-state,,Weber St.
weber-state,Weber St.,Weber State
west-georgia,West Georgia,West Georgia
west-virginia,West Virginia,West Virginia
western-carolina,Western Carolina,Western Carolina
western-illinois,Western Illinois,Western Illinois
western-kentucky,Western Kentucky,Western Kentucky
western-michigan,Western Michigan,Western Michigan
wichita-state,,Wichita St.
wichita-state,Wichita St.,Wichita State
william-mary,,William Mary
william-mary,William & Mary,William & Mary
winthrop,Winthrop,Winthrop
wisconsin,Wisconsin,Wisconsin
wofford,Wofford,Wofford
wright-state,,Wright St.
wright-state,Wright St.,Wright State
wyoming,Wyoming,Wyoming
xavier,Xavier,Xavier
yale,Yale,Yale
youngstown-state,,Youngstown St.
youngstown-state,Youngstown St.,Youngstown State
